[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,20230707_SPS_sample12_83.53mg.dat
FILEOPENTIME,16167007.31,07/07/2023,1:03 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 C0,MOTOR_HW_VERSION
INFO,042,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM598,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,578,PREAMP_SERIAL_NUMBER
INFO,690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,20230707_SPS_sample12_83.53mg.dat,SAMPLE_MATERIAL
INFO,20230707_SPS_sample12_83.53mg.dat,SAMPLE_COMMENT
INFO,83.53,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35.69 mm touchdown = 9.85999964177608 mm,16167359.445,300.000885,-0.134984627366066,-11.2899464094154,0.000739046517524558,1,0.999253354069792,40.0298881530762,2.00032303906588,15.03000035882,-129.900371754112,-22.9698465106219,250,-0.00658904187141894,-11.2895711271344,-0.0139067454307777,300.000885,300.000885,-0.179979503154755,-0.0899897515773773,55.5472123476597,20.6098830046575,9.256284,0,0,0,40,4417,300.2191,-0.134984627366066,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.000885,,,,
,16167372.23,300.0038757,40.2124452590942,-11.2890336570453,0.000706707240160314,1,0.999253354069792,40.0298881530762,2.00036773884284,15.03000035882,-129.893169148659,-22.9653706940561,250,-0.00631832829610317,-11.2886570322002,-0.0136357609615825,300.0038757,300.0038757,31.76540184021,48.6594886779785,55.5565918898905,20.607816496832,8.512546,0,0,0,40,4449,300.208,40.2124452590942,,,,,,,,,,,,,0,,,,11.4056396,,,,,,300.0038757,,,,
,16167372.875,300.00492855,94.2655353546143,-11.2890613868887,0.000599424741695783,1,0.999253354069792,40.0298881530762,2.00044261270987,15.03000035882,-129.898372179911,-22.964825323638,250,-0.00619480210120837,-11.2886843015043,-0.0135123149299009,300.0038757,300.0059814,48.6594886779785,139.87158203125,55.8082762730828,20.6101435346746,9.256284,0,0,0,40,4449,300.20555,94.2655353546143,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.00492855,,,,
,16167373.97,300.00526425,187.820213317871,-11.2868339448749,0.00090637792113847,1,0.999253354069792,40.0298881530762,2.00036839771323,15.03000035882,-129.869160004157,-22.9537044862687,250,-0.00569166918328052,-11.2864570962703,-0.0130076843553274,300.0045471,300.0059814,139.87158203125,235.768844604492,55.4885902087174,20.609651595182,9.256284,0,0,0,40,4449,300.20715,187.820213317871,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.00526425,,,,
,16167374.98,300.00486755,277.37622833252,-11.2844010138088,0.000834471156299327,1,0.999253354069792,40.0298881530762,2.00047754232846,15.03000035882,-129.847270804884,-22.9536880571046,250,-0.00601515771939231,-11.2840242438329,-0.0133295180592769,300.0045471,300.005188,235.768844604492,318.983612060547,55.6605484829482,20.6118045737129,8.512546,0,0,0,40,4449,300.2086,277.37622833252,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.00486755,,,,
,16167375.985,300.0053253,373.141342163086,-11.2803580332069,0.000759823377044628,1,0.999253354069792,40.0298881530762,2.00042945274308,15.03000035882,-129.796872410828,-22.950023380687,250,-0.00645498153974759,-11.2799808806399,-0.013766698875974,300.005188,300.0054626,318.983612060547,427.299072265625,55.8559556127559,20.6113139807379,8.884414,0,0,0,40,4449,300.20785,373.141342163086,,,,,,,,,,,,,0,,,,11.6358137,,,,,,300.0053253,,,,
,16167377.055,300.0054779,482.792144775391,-11.2701050873203,0.000751714432031313,1,0.999253354069792,40.0298881530762,2.00046298798563,15.03000035882,-129.681378877698,-22.9272165517233,250,-0.00624807120099373,-11.2697283323328,-0.0135531328146796,300.0054626,300.0054932,427.299072265625,538.285217285156,56.076374855179,20.6115400351297,9.256284,0,0,0,40,4449,300.2072,482.792144775391,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.0054779,,,,
,16167378.18,300.00569155,598.713958740234,-11.2654281218889,0.000374624642627653,1,0.999253354069792,40.0298881530762,2.0004858494828,15.03000035882,-129.628324465532,-22.9216435997017,250,-0.00656630901239052,-11.2650512092882,-0.0138683080604373,300.0054932,300.0058899,538.285217285156,659.142700195313,55.4596699535059,20.6115545861049,9.256284,0,0,0,40,4449,300.20655,598.713958740234,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.00569155,,,,
,16167379.295,300.0061798,709.257446289063,-11.2603923746705,0.000656579643977094,1,0.999253354069792,40.0298881530762,2.00050942998692,15.03000035882,-129.57205090374,-22.910424160064,250,-0.00645641468102058,-11.2600154493177,-0.0137551891160995,300.0058899,300.0064697,659.142700195313,759.372192382813,55.5386144339482,20.6092669924866,9.256284,0,0,0,40,4449,300.20395,709.257446289063,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.0061798,,,,
,16167380.365,300.0064087,814.4306640625,-11.2551996467982,0.000958623778273975,1,0.999253354069792,40.0298881530762,2.00048929546809,15.03000035882,-129.511502332171,-22.8970919485813,250,-0.00623211899131682,-11.2548229227958,-0.0135275371793918,300.0063477,300.0064697,759.372192382813,869.489135742188,55.4362210979289,20.6109247066862,9.256284,0,0,0,40,4449,300.20255,814.4306640625,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.0064087,,,,
,16167381.35,300.0064087,914.464752197266,-11.2504273978629,0.000998240049731922,1,0.999253354069792,40.0298881530762,2.00041840932007,15.03000035882,-129.450986117436,-22.8935623626039,250,-0.00683370307579886,-11.25005044512,-0.0141259767732368,300.0063477,300.0064697,869.489135742188,959.440368652344,55.7590336763713,20.6127425390826,8.512546,0,0,0,40,4449,300.20235,914.464752197266,,,,,,,,,,,,,0,,,,11.6358137,,,,,,300.0064087,,,,
,16167382.4,300.00668335,1019.4411315918,-11.2452323645641,0.000589574588908496,1,0.999253354069792,40.0298881530762,2.00046128036104,15.03000035882,-129.395063181508,-22.8766034189955,250,-0.00623485662823989,-11.24485583488,-0.0135237673818956,300.0064697,300.006897,959.440368652344,1079.44189453125,55.6519505692367,20.6130102646634,8.512546,0,0,0,40,4449,300.2015,1019.4411315918,,,,,,,,,,,,,0,,,,11.6358137,,,,,,300.00668335,,,,
,16167383.555,300.0071564,1134.49072265625,-11.2401525412934,0.000374382965641628,1,0.999253354069792,40.0298881530762,2.00054664126651,15.03000035882,-129.341693130134,-22.8682341497023,250,-0.00632196217024228,-11.2397758908034,-0.0136075168548438,300.006897,300.0074158,1079.44189453125,1189.53955078125,55.6753994248136,20.6113830703471,9.256284,0,0,0,40,4449,300.20205,1134.49072265625,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.0071564,,,,
,16167384.6,300.0074158,1239.44427490234,-11.2344553429966,0.000435852608840304,1,0.999253354069792,40.0298881530762,2.00053801774662,15.03000035882,-129.275663201719,-22.8561993161662,250,-0.00628844373967578,-11.2340787781812,-0.013570248023961,300.0074158,300.0074158,1189.53955078125,1289.34899902344,56.0529259996021,20.6109397536889,9.256284,0,0,0,40,4449,300.20265,1239.44427490234,,,,,,,,,,,,,0,,,,11.4056396,,,,,,300.0074158,,,,
,16167385.64,300.00740055,1344.34545898438,-11.2293026820761,0.000690705299016989,1,0.999253354069792,40.0298881530762,2.00045519946084,15.03000035882,-129.210608778697,-22.8485457620539,250,-0.00660988373297377,-11.2289260902529,-0.0138883099315618,300.0073853,300.0074158,1289.34899902344,1399.34191894531,55.8481393275636,20.6116549409333,8.512546,0,0,0,40,4449,300.20215,1344.34545898438,,,,,,,,,,,,,0,,,,11.46289585,,,,,,300.00740055,,,,
,16167386.765,300.00787355,1459.26397705078,-11.2237779043108,0.000921477493374697,1,0.999253354069792,40.0298881530762,2.00046642161471,15.03000035882,-129.148125316513,-22.8351614862279,250,-0.00640982357771282,-11.2234013852742,-0.0136846915340775,300.0073853,300.0083618,1399.34191894531,1519.18603515625,55.9466245209867,20.6109577028925,9.256284,0,0,0,40,4449,300.19995,1459.26397705078,,,,,,,,,,,,,0,,,,11.46289585,,,,,,300.00787355,,,,
,16167387.79,300.00785825,1559.04125976562,-11.2189235879309,0.00076695279020115,1,0.999253354069792,40.0298881530762,2.00050556654895,15.03000035882,-129.094772206596,-22.8251830618162,250,-0.00636112804510013,-11.2185472684303,-0.0136328588085901,300.0073547,300.0083618,1519.18603515625,1598.896484375,55.7973334738136,20.6114169742259,8.884414,0,0,0,40,4449,300.19825,1559.04125976562,,,,,,,,,,,,,0,,,,11.4056396,,,,,,300.00785825,,,,
,16167388.815,300.00756835,1658.77502441406,-11.2132889878063,0.000536949519064587,1,0.999253354069792,40.0298881530762,2.00052765480985,15.03000035882,-129.031554119303,-22.8125001325884,250,-0.0062311255132262,-11.2129130904458,-0.0134991597566843,300.0073547,300.007782,1598.896484375,1718.65356445313,55.6042712295636,20.6104221547065,8.884414,0,0,0,40,4449,300.1985,1658.77502441406,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.00756835,,,,
,16167390.01,300.0078583,1778.62927246094,-11.2017348715785,0.000953537934070796,1,0.999253354069792,40.0298881530762,2.00049694274194,15.03000035882,-128.896678620886,-22.7888416224639,250,-0.00624052276812385,-11.2013592098802,-0.0135010239503735,300.007782,300.0079346,1718.65356445313,1838.60498046875,55.6527321977559,20.60883974471,8.884414,0,0,0,40,4449,300.19825,1778.62927246094,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.0078583,,,,
,16167391.195,300.00758365,1898.45166015625,-11.1963781335149,0.000767444606233718,1,0.999253354069792,40.0298881530762,2.000471964929,15.03000035882,-128.833910054054,-22.7753795369984,250,-0.00603827119163261,-11.1960029192531,-0.0132953017092745,300.0072327,300.0079346,1838.60498046875,1958.29833984375,55.7957702167751,20.6102450416999,9.256284,0,0,0,40,4449,300.19665,1898.45166015625,,,,,,,,,,,,,0,,,,11.4056396,,,,,,300.00758365,,,,
,16167392.25,300.0072327,2003.33312988281,-11.1901745173166,0.000565731199632564,1,0.999253354069792,40.0298881530762,2.00043193657187,15.03000035882,-128.759821852834,-22.7637336481805,250,-0.00615726615000745,-11.1897996098478,-0.0134102537260024,300.0072327,300.0072327,1958.29833984375,2048.36791992187,55.7121359652174,20.6106980969746,9.256284,0,0,0,40,4449,300.1957,2003.33312988281,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.0072327,,,,
,16167393.32,300.00787355,2108.34497070313,-11.1850284685758,0.000405867692439236,1,0.999253354069792,40.0298881530762,2.0004812562824,15.03000035882,-128.702722969564,-22.7589650259469,250,-0.00660328830938487,-11.184653123071,-0.013852902179288,300.0072327,300.0085144,2048.36791992187,2168.32202148438,55.6300649706982,20.6112629978067,8.512546,0,0,0,40,4449,300.1949,2108.34497070313,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.00787355,,,,
,16167394.36,300.0085144,2204.53735351562,-11.1778695407282,0.00185332588149604,1,0.999253354069792,40.0298881530762,2.00045647744797,15.03000035882,-128.623284329153,-22.7188147930443,250,-0.0043993878288918,-11.1774955453569,-0.0116443775818103,300.0085144,300.0085144,2168.32202148438,2240.75268554687,55.8004599878905,20.6106562661098,9.256284,0,0,0,40,4449,300.1954,2204.53735351562,,,,,,,,,,,,,0,,,,11.4056396,,,,,,300.0085144,,,,
,16167395.32,300.00837705,2301.91748046875,-11.1733838271776,0.000683807756041129,1,0.999253354069792,40.0298881530762,2.00042998798894,15.03000035882,-128.566575873176,-22.7290886262663,250,-0.00610768657695109,-11.1730089510384,-0.0133496275088497,300.0082397,300.0085144,2240.75268554687,2363.08227539062,55.7035380515059,20.6102102131505,8.884414,0,0,0,40,4449,300.19685,2301.91748046875,,,,,,,,,,,,,0,,,,11.4056396,,,,,,300.00837705,,,,
,16167396.36,300.00804135,2415.27612304687,-11.1667477028002,0.000719923586948775,1,0.999253354069792,40.0298881530762,2.00048892974561,15.03000035882,-128.492568891733,-22.7233971034088,250,-0.00672705559644589,-11.1663728198946,-0.0139646155436865,300.007843,300.0082397,2363.08227539062,2467.46997070313,55.710572708179,20.6114593936719,8.512546,0,0,0,40,4449,300.19715,2415.27612304687,,,,,,,,,,,,,0,,,,11.4056396,,,,,,300.00804135,,,,
,16167397.29,300.00798035,2508.11950683594,-11.1594406726361,0.000856136858870033,1,0.999253354069792,40.0298881530762,2.00042186637719,15.03000035882,-128.406005350305,-22.6985859696285,250,-0.00592183745535556,-11.1590665852971,-0.0131546817940605,300.007843,300.0081177,2467.46997070313,2548.76904296875,55.646479169602,20.6114248857654,9.256284,0,0,0,40,4449,300.1959,2508.11950683594,,,,,,,,,,,,,0,,,,11.4056396,,,,,,300.00798035,,,,
,16167398.305,300.00794985,2608.9541015625,-11.1528276519872,0.000874421169105948,1,0.999253354069792,40.0298881530762,2.00045168165655,15.03000035882,-128.330212672546,-22.6941139432757,250,-0.00667052926239684,-11.1524533121947,-0.0138990808020916,300.007782,300.0081177,2548.76904296875,2669.13916015625,55.5440858335828,20.6142189784142,9.256284,0,0,0,40,4449,300.19365,2608.9541015625,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.00794985,,,,
,16167399.41,300.0076294,2719.08154296875,-11.1459449977765,0.000526555957776448,1,0.999253354069792,40.0298881530762,2.0005300285692,15.03000035882,-128.25701727595,-22.6741204866067,250,-0.00607238927802488,-11.1455714370757,-0.0132964735666432,300.0074768,300.007782,2669.13916015625,2769.02392578125,55.707446194102,20.6123389755796,8.884414,0,0,0,40,4449,300.1928,2719.08154296875,,,,,,,,,,,,,0,,,,11.6358137,,,,,,300.0076294,,,,
,16167400.445,300.00764465,2823.91711425781,-11.1387603248284,0.000461608178886891,1,0.999253354069792,40.0298881530762,2.00048225559066,15.03000035882,-128.172075740274,-22.6552780438251,250,-0.0057461362874572,-11.1383872140673,-0.0129654977418444,300.0074768,300.0078125,2769.02392578125,2878.81030273438,55.7519990196982,20.6111063229405,9.256284,0,0,0,40,4449,300.1938,2823.91711425781,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.00764465,,,,
,16167401.555,300.0076599,2933.74670410156,-11.1321223823607,0.000303054356750079,1,0.999253354069792,40.0298881530762,2.00051119166472,15.03000035882,-128.096651318509,-22.6466904695057,250,-0.00614260138276244,-11.1317492365632,-0.0133575549985392,300.0075073,300.0078125,2878.81030273438,2988.68310546875,55.7441827345059,20.6129121391016,8.512546,0,0,0,40,4449,300.19525,2933.74670410156,,,,,,,,,,,,,0,,,,11.52072665,,,,,,300.0076599,,,,
,16167402.63,300.0081482,3043.62512207031,-11.1253391301695,0.00103997756977148,1,0.999253354069792,40.0298881530762,2.00050960385598,15.03000035882,-128.017729663023,-22.6372283213509,250,-0.00651733301335147,-11.1249657267443,-0.0137278359362355,300.0075073,300.0087891,2988.68310546875,3098.56713867188,55.7113543366982,20.6133925094066,8.512546,0,0,0,40,4449,300.1949,3043.62512207031,,,,,,,,,,,,,0,,,,11.6358137,,,,,,300.0081482,,,,
,16167403.705,300.00854495,3153.57043457031,-11.1181827948833,0.000339746577752666,1,0.999253354069792,40.0298881530762,2.00059056251268,15.03000035882,-127.941864434258,-22.6147835643897,250,-0.00575228907220782,-11.1178099308388,-0.0129581384471609,300.0083008,300.0087891,3098.56713867188,3208.57373046875,55.7777927608328,20.6111488951916,9.256284,0,0,0,40,4449,300.1945,3153.57043457031,,,,,,,,,,,,,0,,,,11.5779829,,,,,,300.00854495,,,,
